qid,ndcg,r100,num_sentences,proper_nouns,gold_rank,in_top100,in_top1000,primary_mode,tags,gold_ids,gold_titles,query
1038,0.0,0.0,4,0,,,,recall_miss_top100,few_entities,1331978,Smokey and the Bandit II is a 1980...,"Ive had a movie on my mind for a few days I watcher several years back (at least 10+) I dont remember alot of it, but there was a guy chased by cops for superlong and at one point it was in a desert environment He mustve had several dozen of cops right behind him at one point and when it looked like he was about to get caught a trucker showed up in a far distans, shortly after several others showed up behind it and they spread out in a line Im not sure but I think he was driving an american muscle car, it was for sure an american movie, colored, and if I had to guess maybe from the 80’s or 90’s Id appreciate any help on this, going crazy over here!"
279,0.0,0.0,5,1,,,,recall_miss_top100,few_entities,7764212,Freedom Writers is a 2007 American drama film...,"There was a flashback scene of two young black kids They were sitting on a bench, Probably in a park or something The protagonist’s friend shows him a gun he found The gun then accidentally triggers, killing his friend The protagonist then sits beside his dead friend, until the cops arrive and take him to jail or something"
890,0.0,0.0,8,2,,,,recall_miss_top100,,26180482,Sanctuary is a 1961 drama film directed by...,"So I saw this movie probably around 1979 It was a B & W movie set in the 1920’s Gangster era as can be told by the clothing and the cars It starts out with this young high school couple at a party and the male is getting very drunk, they both leave the party and he’s driving (no shocker there, they can’t crash unless he drives) You guessed it, they crash coming around a corner into a tree I can’t remember if they were found, but the girl ends up at this old farmhouse and being held hostage by a gangster (although she’s not tied up, she’s being well taken care of by the gangster, but she’s a prisoner none-the-less), I believe his name was Candy I believe her boyfriend might have been there with her at first, but I’m not sure He does come back for her, and thats really all I can remember Help……"
403,0.0,0.0,18,16,,,,recall_miss_top100,,1891886,V for Vendetta is a 2005 dystopian political...,"-Date: I’m not entirely sure, but I think I watched it on Netflix a year or so ago -Language: I believe it was in either German, French, or English -Where seen: I think on Netflix It was definitely a movie -Extras: in color, recently made, setting somewhere in Europe (Germany, France, UK) -Description: A woman wakes up in some secret underground apartment (I can’t remember if she was kidnapped or otherwise ended up there another way) The resident of the apartment is a man who wears a mask and gloves, never taking them off He makes her breakfast The apartment is full of art and statues and books, almost museum-like There’s some fancy mirror somewhere and a scene takes place there The woman at some point is in a cell where she is tortured every day The only thing keeping her going is a letter she finds hidden in the wall that’s a first hand account of a previous woman being tortured there When she escapes she realizes the person holding her captive and torturing her was the masked/gloved man She’s furious and I think leaves At some point it becomes known that the masked/gloved man was one of the people experimented on by the Angel of Death (Mengele), a nazi doctor who did experiments on twins, handicapped, elderly The man was referred to as his cell number, and because of the experiments he developed super immunity to either disease (I think) There was a fire at the place where Mengele did the experiments and the man survived but had burns all over his body hence the mask and gloves At some point the woman comes back The police I think are after the masked man I’m not sure if he gets shot, but they’re in the metro station and at some point the woman puts him (I think he was dying?) on a metro car full of flowers and bombs and sends it off to blow up I think for some reason I can’t remember there were protests going on in the general public that were taking place at the same time as this metro car explosion"
813,0.0,0.0,15,4,,,,recall_miss_top100,,2310134,Thriller (also known as Boris Karloff's Thriller and...,"Looking for movie I saw when I was a kid It may have been an episode of a TV show Anyway, this newly married couple bought an old lighthouse or at least a house that was on a cliff overlooking the sea The woman found a bunch of mirrors in the attic of the house that mesmerized her She would dance in front of them The story was a former female occupant had died in the house under suspicious circumstances, maybe she committed suicide or something But the mirrors were haunted and the ghost arose and fought with the woman Her husband came to help and tried to beat the ghost with a metal rod, a fire poker Of course, the solid object went through the ghost and he actually beat his wife to death Despondent , he thought that he saw his wife dancing in front of a window beckoning to him and he jumped through the window to his death Another couple witnessed this whereupon the woman fainted and her husband scooped her up and rushed from the house It was a black and white movie and I think I saw it sometime in the early ’60s on television I have looked at The Outer Limits Episodes but could find nothing Would like to see it again Any help appreciated"
714,0.0,0.0,15,3,,,,recall_miss_top100,,3434085,Sorority Boys is a 2002 American comedy film...,"I dont remember most of this scene in this movie I watch this movie about 2004-2005 the movie is about 3 men whose lost their money and they were suspecting a group of women So, in order to investigate the women, they disguise themselve as woman and make excuse to live with the women The scene that remember the most is where a man taking bath at night and suddenly a woman joined him But the girl didnt realizes that the man is a man caused she didnt wear her glasses And in the movie, the men fall in love with the group of women they live with [SUBMITTED A FEW MINUTES LATER:–ed ] I watch this movie in 2004-2006, There were 3 men(if im not mistaken) They lost their money and they suspecting a group of ladies Hence they disguise as ladies in order to investigate them I dont realy remember all the scene But there is a scene when the man take bath and suddenly a lady enter the bathroom and take bath together The lady is not wearing her glass so she didnt find out that she was taking bath with the man Then somewhere in the movie the men fall in love the ladies"
992,0.0,0.0,1,0,,,,recall_miss_top100,sparse_query|few_entities,14513043,Eve of Destruction is a 1991 American science...,so i love movies and have found some through memories this one is a very vague one lol so a blond woman is in a hotel room with a guy i believe she is an alien and the guy is trying to get laid and she isnt interested and he takes her necklace and slides it down his pants trying to be all into it so she crawls across the bed unzips and the guy is all like yeah and she takes it in her mouth starts sliding the necklace out and bites it off then leaves lol i believe its an 90’s movie but i cant remember the characters or anything else its been so long since i have seen it hopefully someone has an idea what movie this scene is from!
832,0.0,0.0,3,0,,,,recall_miss_top100,sparse_query|few_entities,16013696,Mikey is a 1992 American psychological slasher film...,All I remember of this film is that there is a kid in a house holding a bow and arrow and facing his father Father tells him to put the bow down but the kid shoots him in the belly with the arrow and kills him Any ideas?
861,0.0,0.0,14,2,,,,recall_miss_top100,,5979824,Nightmares &amp; Dreamscapes: From the Stories of Stephen...,"I saw this movie on TV, it was probably somewhere between 2004-2008 It might have been made in the late 90s, but I’m not sure The film was about this couple who were going somewhere for a honeymoon (I think), and traveling around this weird abandoned town Throughout the film, they see very disturbing events, the most prominent being this scarred-up white cat It keeps following them Throughout the film, the husband goes insane He’s bloodied-up and yelling all the time At the end of the film, this worm-like creature comes up out of the ground and swallows him whole The very end of the movie has the wife talking to the police about the experience, and a cat jumps down and knocks a drink over The cop calls the cat something like “Lonney”, which was the name of the woman’s husband We see that it is the same scarred-up white cat as before The camera zooms in on its face, and the film ends The thing I remember the most is, of course, the ending And I’ve been wanting to find it just so I can relive it"
345,0.0,0.0,10,2,,,,recall_miss_top100,,1659954,A Clockwork Orange is a 1971 dystopian crime...,"I hope someone here can help me! it’s a movie that i saw around 6 ago on tv (not sure) its a movie about a group people (5) that Break Into a house ans accidentally kill a woman, they had weird white masks in the end of the movie one of the mans is in hospital bed I remember that the movie had a bad ending The hole movie wasn’t really happy The jumping between scenes was also very strange Rooms with to mush color and conversations about thing that didn’t fit in the movie I saw the movie when I was 12 or something, so its also possible that i just didn’t understand the context of the hole movie It was a very long movie 3+hour including commercial breaks I hope someone here can help ?"
